category,user_id,holdout_review_id,holdout_asin,holdout_product_title,holdout_rating,rank_of_holdout,hit_at_10,ndcg_score,reciprocal_rank,holdout_in_candidate_pool,evaluation_mode,recommendations,recommendation_reasons,candidate_count,retrieval_sources,baseline_recommendations,baseline_rank_of_holdout,baseline_hit_at_10,baseline_ndcg_score,baseline_reciprocal_rank,recommendation_run_id,dcr_classification,status,error_message,model_name,prompt_version,persona_version,embedding_model,output_valid,reviewed_product_recommended,behaviour_passed,recommendation_run_stored,intent_plan_stored,intent_plan_has_retrieval_query,intent_plan_has_constraints,intent_plan_has_model_recorded,candidates_stored,retrieval_sources_stored,score_breakdown_stored,model_name_recorded,prompt_version_recorded,persona_version_recorded,embedding_model_recorded,governance_passed,correct_category_used,request_constraints_reflected,persona_train_products_excluded,holdout_not_wrongly_excluded,cross_domain_values_used,context_passed
Health_and_Household,AE2ODZ4VYQ5FNNCONSHSNZM7PHSQ,8f3551e3633b3f48770adeaa5748905c,B07GSCK9Q3,Karat IM-FC4024B 24 oz Microwavable Containers & Lids (Case of 150),5.0,,,,,,True,,[],,,,,,,,,,skipped,max holdouts per user reached,,,,,,,,,,,,,,,,,,,,,,,,,,
Health_and_Household,AE2ODZ4VYQ5FNNCONSHSNZM7PHSQ,c2103829db7c8aee013f82f376bf3283,B07NC8PX65,"VIVA Choose-A-Sheet* Paper Towels, White, Big Plus Roll, 24 Count",5.0,,,,,,True,,[],,,,,,,,,,skipped,max holdouts per user reached,,,,,,,,,,,,,,,,,,,,,,,,,,
Health_and_Household,AE2SMJ56NPO6NGF2II6UYWFG4WSQ,1de0f885b024e5cac40ad39cf4a22cbd,B00DH4IWII,"Ultrasac 39 Gallon Garbage Bags (HUGE 100 Pack) 33"" x 43"" Heavy Duty Industrial Yard Waste Bag - Professional Outdoor Trash Bags for Contractors and more (Pack of 100) (769646)",5.0,,0.0,0.0,0.0,True,True,"[""B0041VQ9CW"", ""B093M32ZLN"", ""B0BRSVM7X4"", ""B00O1ZV4AU"", ""B08FD6KG7D"", ""B06ZZ43VNX"", ""B07L99L1YM"", ""B0BD7K9TDM"", ""B09K9GFP1S"", ""B082L1HKJG""]","[""This matches the request because it mentions gmp certification."", ""This fits the request through essential oils."", ""This fits the request through product quality score 0.94, preference match score 0.30."", ""This fits the request through product quality score 0.94, preference match score 0.30."", ""This fits the request through product quality score 0.94, preference match score 0.30."", ""This fits the request through product quality score 0.94, preference match score 0.30."", ""This fits the request through product quality score 0.94, preference match score 0.30."", ""This fits the request through product quality score 0.94, preference match score 0.30."", ""This fits the request through product quality score 0.92, preference match score 0.30."", ""This fits the request through product quality score 0.94, preference match score 0.30.""]",51.0,"{""collaborative"": 25, ""request_query"": 24, ""attribute_match"": 25, ""preference_vector"": 39, ""evaluation_holdout"": 1}","[""B00QWO9P0O"", ""B07VSHHNB3"", ""B07PQ8WTC4"", ""B07W94X4QJ"", ""B0C3M2NBS7"", ""B08FMHVMM6"", ""B00EZ1ZTFG"", ""B0BWK813BD"", ""B0C4VTPT1Y"", ""B0C8L7JQ6B""]",,0.0,0.0,0.0,70a98b80-caa7-49a5-8790-8696b24ce559,Yellow,success,,qwen/qwen3-32b,task_b_intent_v1+task_b_reranker_v1,v1,sentence-transformers/all-MiniLM-L6-v2,True,False,True,True,True,True,False,True,True,True,,True,True,True,True,True,True,True,True,True,,True
Health_and_Household,AE2SMJ56NPO6NGF2II6UYWFG4WSQ,33d3529361dce084fec89b5418573db4,B09C2MPWXQ,"Prince Of Peace Ginkgo Biloba & Red Panax Ginseng Extract, 0.34 fl. oz. Each – Ginkgo Biloba Supplement – Chinese Red Panax Ginseng Extract – Supports Overall Well-Being - 2 Pack - 60 Bottles",4.0,,0.0,0.0,0.0,True,True,"[""B0041VQ9CW"", ""B093M32ZLN"", ""B0BRSVM7X4"", ""B00O1ZV4AU"", ""B08FD6KG7D"", ""B06ZZ43VNX"", ""B07L99L1YM"", ""B0BD7K9TDM"", ""B09K9GFP1S"", ""B082L1HKJG""]","[""This matches the request because it mentions gmp certification."", ""This fits the request through essential oils."", ""This fits the request through product quality score 0.94, preference match score 0.30."", ""This fits the request through product quality score 0.94, preference match score 0.30."", ""This fits the request through product quality score 0.94, preference match score 0.30."", ""This fits the request through product quality score 0.94, preference match score 0.30."", ""This fits the request through product quality score 0.94, preference match score 0.30."", ""This fits the request through product quality score 0.94, preference match score 0.30."", ""This fits the request through product quality score 0.92, preference match score 0.30."", ""This fits the request through product quality score 0.94, preference match score 0.30.""]",51.0,"{""collaborative"": 25, ""request_query"": 24, ""attribute_match"": 25, ""preference_vector"": 39, ""evaluation_holdout"": 1}","[""B00QWO9P0O"", ""B07VSHHNB3"", ""B07PQ8WTC4"", ""B07W94X4QJ"", ""B0C3M2NBS7"", ""B08FMHVMM6"", ""B00EZ1ZTFG"", ""B0BWK813BD"", ""B0C4VTPT1Y"", ""B0C8L7JQ6B""]",,0.0,0.0,0.0,03c4f787-8b1b-4f05-9d71-9acd1072fd6b,Yellow,success,,qwen/qwen3-32b,task_b_intent_v1+task_b_reranker_v1,v1,sentence-transformers/all-MiniLM-L6-v2,True,False,True,True,True,True,False,True,True,True,,True,True,True,True,True,True,True,True,True,,True
Health_and_Household,AE2SMJ56NPO6NGF2II6UYWFG4WSQ,48968d5d78a4955f199112096dc57ee1,B074W5RMZL,"Nature Made Flaxseed Oil 1000 mg, Fish Free Omega 3 Supplement, Dietary Supplement for Heart Health Support, 180 Softgels, 180 Day Supply",5.0,,,,,,True,,[],,,,,,,,,,skipped,max holdouts per user reached,,,,,,,,,,,,,,,,,,,,,,,,,,
Health_and_Household,AE2SMJ56NPO6NGF2II6UYWFG4WSQ,6197225859b1b2c6edf3f6b6c5dd754e,B01LOMZ8ZY,"Edens Garden Sniffles & Sneezes ""OK for Kids"" Essential Oil Synergy Blend, 100% Pure Therapeutic Grade (Undiluted Natural/Homeopathic Aromatherapy Scented Essential Oil Blends) 30 ml",5.0,,,,,,True,,[],,,,,,,,,,skipped,max holdouts per user reached,,,,,,,,,,,,,,,,,,,,,,,,,,
Health_and_Household,AE2SMJ56NPO6NGF2II6UYWFG4WSQ,b18d2b6363ab353a1b49a273fb568325,B0CG64DVTH,"Nature’s Bounty Vitamin C + Rose Hips, Immune Support, 1000mg, Coated Caplets, 100 Ct",5.0,,,,,,True,,[],,,,,,,,,,skipped,max holdouts per user reached,,,,,,,,,,,,,,,,,,,,,,,,,,
Health_and_Household,AE2SMJ56NPO6NGF2II6UYWFG4WSQ,fbe41db2949a37c5f78466bfbd1c976e,B01HI7WON8,"Tylenol Extra Strength Acetaminophen Rapid Release Gels, Extra Strength Pain Reliever & Fever Reducer Medicine, Gelcaps with Laser-Drilled Holes, 500 mg Acetaminophen, 225 ct",5.0,,,,,,True,,[],,,,,,,,,,skipped,max holdouts per user reached,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty_and_Personal_Care,AE3KLVXGZPANXE5XLXYKHTVAZ3FQ,da8005b8aed76ec9e2d31578d0431b93,B0B195N45Y,"FLEUR & BEE Retinol Moisturizer | Clean, 100% Vegan | Anti Aging Cream, Retinol Cream for Face, Best for Night and Day, For Women and Men | Youth Fairy 1.5 oz",5.0,,0.0,0.0,0.0,True,True,"[""B00ID1A5TO"", ""B0CDD5KVJ6"", ""B07ZK1FLTX"", ""B01N97PCBH"", ""B0B861XVLW"", ""B07WRZZ3W3"", ""B08MRYWTST"", ""B08FDDCKR3"", ""B0BRC7VYR5"", ""B005AZSE44""]","[""This matches the request because it mentions lightweight."", ""This matches the request because it mentions lightweight."", ""This matches the request because it mentions lightweight."", ""This matches the request because it mentions lightweight."", ""This matches the request because it mentions lightweight."", ""This matches the request because it mentions lightweight."", ""This matches the request because it mentions lightweight."", ""This matches the request because it mentions lightweight."", ""This matches the request because it mentions lightweight."", ""This fits the request through product quality score 0.94, preference match score 0.30.""]",51.0,"{""request_query"": 26, ""attribute_match"": 8, ""preference_vector"": 50, ""evaluation_holdout"": 1}","[""B01LSUQSB0"", ""B0C47HXVSJ"", ""B0BHMQLLR4"", ""B01K1HPA60"", ""B088XGXB36"", ""B0BWZC536Y"", ""B08KVK68F7"", ""B09GWLJPTH"", ""B0BT357Q3L"", ""B0BPTW75RG""]",,0.0,0.0,0.0,b2de5e6b-c114-43bb-b863-15cc333be45f,Yellow,success,,qwen/qwen3-32b,task_b_intent_v1+task_b_reranker_v1,v1,sentence-transformers/all-MiniLM-L6-v2,True,False,True,True,True,True,False,True,True,True,,True,True,True,True,True,True,True,True,True,,True
Beauty_and_Personal_Care,AE3KLVXGZPANXE5XLXYKHTVAZ3FQ,da932b3cbceb60f1132a3914f4a43666,B0B8XJCW9F,YUDAOHAIR 42 Inches Hair Extension Tinsel Kit With Tools 3520 Strands 16 Colors Tinsel Hair Extensions for Women Girls Heat Resistant Glitter Hair Fairy Hair Sparkling Shiny Hair for Christmas New Year Cosplay Party,5.0,1.0,1.0,1.0,1.0,True,True,"[""B0B8XJCW9F""]","[""Matches the user's preference for sparkly, reusable hair accessories with child-friendly designs. The product's heat-resistant polyester material aligns with quality expectations, and the absence of parabens/silicones in the description avoids triggering the user's ingredient aversion. The 4.1-star rating reflects their pattern of valuing functional quality.""]",1.0,"{""evaluation_holdout"": 1}","[""B01LSUQSB0"", ""B0C47HXVSJ"", ""B0BHMQLLR4"", ""B01K1HPA60"", ""B088XGXB36"", ""B0BWZC536Y"", ""B08KVK68F7"", ""B09GWLJPTH"", ""B0BT357Q3L"", ""B0BPTW75RG""]",,0.0,0.0,0.0,4413ef18-6f7d-4f9b-915f-e55a4b61bef2,Green,success,,qwen/qwen3-32b,task_b_intent_v1+task_b_reranker_v1,v1,sentence-transformers/all-MiniLM-L6-v2,True,False,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,,True
Beauty_and_Personal_Care,AE3KLVXGZPANXE5XLXYKHTVAZ3FQ,2d8f92c0888aea858927db4cbcd38c2f,B09DSNBDSZ,Luv Her Disney Frozen 2 Elsa Knot Headband with Diamond - Headbands For Girls - Hair Accessories For Her,4.0,,,,,,True,,[],,,,,,,,,,skipped,max holdouts per user reached,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty_and_Personal_Care,AE3KLVXGZPANXE5XLXYKHTVAZ3FQ,042ddbadcff2a4d749618d92144ee1b0,B0BH1VWVV3,"Lip Smacker Lippy Pal Flavored Lip Balm | Clear Matte | Panda| Cuddly Cream Puff | For Kids, Men, Women | Stocking Stuffer | Christmas Gift",4.0,,,,,,True,,[],,,,,,,,,,skipped,max holdouts per user reached,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty_and_Personal_Care,AE3KLVXGZPANXE5XLXYKHTVAZ3FQ,102db5fe388371ffd132eaea452894ca,B09VL34NLV,"HOYOLS Small Seamless Cotton Hair Ties, Ponytail Scrunchies Head bands for Women Girls Kids Ponytail Holder 100 Pieces 1.2 Inch (10 Colors)",5.0,,,,,,True,,[],,,,,,,,,,skipped,max holdouts per user reached,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty_and_Personal_Care,AE3KLVXGZPANXE5XLXYKHTVAZ3FQ,1d8645a36e59df7fa9c59da534a4c58a,B09PDSGQ3R,"Chanskyu Underarm Sweat Pads, 【100 Packs】premium quality Fight Hyperhidrosis for Men and Women Comfortable Unflavored, Non Visible, Extra Adhesive, Disposable Non Sweat Armpit Protection",5.0,,,,,,True,,[],,,,,,,,,,skipped,max holdouts per user reached,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty_and_Personal_Care,AE3KLVXGZPANXE5XLXYKHTVAZ3FQ,7e616d52a3d0f89ef98bf5ca0fefd47f,B078HYLVJK,"IDUN Minerals Translucent Mattifying Mineral Powder - For A Flawless Finish - Matte Sheer - Provides Subtle Coverage - With A Durable Fixing Effect - Tuva - 0.12 Oz, (I0096082)",4.0,,,,,,True,,[],,,,,,,,,,skipped,max holdouts per user reached,,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics,AE3OUW2QZVYKTDJ33WRUNO75WIXA,b307e898b56bfe0df58a7ff844423798,B0BB74ZFJQ,JBL Bar 2.1 - Channel Soundbar with Wireless Subwoofer,4.0,,0.0,0.0,0.0,True,True,"[""B07H2LR77Y"", ""B00VW6MY2S"", ""B091T4LZHF"", ""B00JHME2I8"", ""B00WUI57DU"", ""B06XCS162G"", ""B078TMMDZZ"", ""B00P8PK1WE"", ""B00WUIEJYI"", ""B0054I54JU""]","[""This fits the request through product quality score 0.92, preference match score 0.30."", ""This fits the request through product quality score 0.84, preference match score 0.30."", ""This fits the request through product quality score 0.92, preference match score 0.30."", ""This fits the request through product quality score 0.92, preference match score 0.30."", ""This fits the request through product quality score 0.90, preference match score 0.30."", ""This fits the request through product quality score 0.90, preference match score 0.30."", ""This fits the request through product quality score 0.94, preference match score 0.30."", ""This fits the request through product quality score 0.88, preference match score 0.30."", ""This fits the request through portability."", ""This fits the request through product quality score 0.92, preference match score 0.30.""]",51.0,"{""collaborative"": 24, ""attribute_match"": 13, ""preference_vector"": 48, ""evaluation_holdout"": 1}","[""B0BGNG1294"", ""B08CLNX58K"", ""B09V1FT19S"", ""B0BSFT117F"", ""B073JWXGNT"", ""B0BRZG5TK4"", ""B073JYC4XM"", ""B09ZQ4GHM8"", ""B0BPL157WQ"", ""B0BJW5LJ4J""]",,0.0,0.0,0.0,43d81080-983b-4471-b9d5-9723bb737653,Yellow,success,,qwen/qwen3-32b,task_b_intent_v1+task_b_reranker_v1,v1,sentence-transformers/all-MiniLM-L6-v2,True,False,True,True,True,True,False,True,True,True,,True,True,True,True,True,True,True,True,True,,True
Beauty_and_Personal_Care,AE3RXOZQ6OBTBWRG6C3N5ZYC4NWQ,18a73467dcb9ec178d0d7dd91ca15c9f,B0BQ77Y3N1,"Amazon Basics Antibacterial Liquid Hand Soap Refill, Light Moisturizing, Triclosan-Free, Citrus, 56 Fl Oz (Previously Solimo)",4.0,,0.0,0.0,0.0,True,True,"[""B092CC7G2R"", ""B08P389GH6"", ""B09KX3WMC3"", ""B08T8YBVVG"", ""B005AZSE44"", ""B09KC4NVM5"", ""B06X9MG5WB"", ""B0C127MLZQ"", ""B074K661LH"", ""B0C7WGXMJL""]","[""This matches the request because it mentions natural ingredients."", ""This matches the request because it mentions natural ingredients."", ""This fits the request through moisturizers."", ""This fits the request through natural oils."", ""This fits the request through product quality score 0.94, preference match score 0.30."", ""This fits the request through product quality score 0.94, preference match score 0.30."", ""This fits the request through natural oils."", ""This fits the request through moisturizers."", ""This fits the request through product quality score 0.94, preference match score 0.30."", ""This matches the request because it mentions natural ingredients.""]",51.0,"{""collaborative"": 25, ""request_query"": 26, ""attribute_match"": 25, ""preference_vector"": 49, ""evaluation_holdout"": 1}","[""B01LSUQSB0"", ""B0C47HXVSJ"", ""B0BHMQLLR4"", ""B01K1HPA60"", ""B088XGXB36"", ""B0BWZC536Y"", ""B08KVK68F7"", ""B09GWLJPTH"", ""B0BT357Q3L"", ""B0BPTW75RG""]",,0.0,0.0,0.0,fff09e9f-25d1-4f9b-906a-fc8dc40f0a73,Yellow,success,,qwen/qwen3-32b,task_b_intent_v1+task_b_reranker_v1,v1,sentence-transformers/all-MiniLM-L6-v2,True,False,True,True,True,True,False,True,True,True,,True,True,True,True,True,True,True,True,True,,True
Beauty_and_Personal_Care,AE3RXOZQ6OBTBWRG6C3N5ZYC4NWQ,3ec331b2f89c4adfb83b062f08fcae3c,B0C5SD241W,"wet n wild Wild Shine Nail Polish, Orange Blazed, Nail Color",4.0,,0.0,0.0,0.0,True,True,"[""B092CC7G2R"", ""B08P389GH6"", ""B09KX3WMC3"", ""B08T8YBVVG"", ""B005AZSE44"", ""B09KC4NVM5"", ""B06X9MG5WB"", ""B0C127MLZQ"", ""B074K661LH"", ""B0C7WGXMJL""]","[""This matches the request because it mentions natural ingredients."", ""This matches the request because it mentions natural ingredients."", ""This fits the request through moisturizers."", ""This fits the request through natural oils."", ""This fits the request through product quality score 0.94, preference match score 0.30."", ""This fits the request through product quality score 0.94, preference match score 0.30."", ""This fits the request through natural oils."", ""This fits the request through moisturizers."", ""This fits the request through product quality score 0.94, preference match score 0.30."", ""This matches the request because it mentions natural ingredients.""]",51.0,"{""collaborative"": 25, ""request_query"": 26, ""attribute_match"": 25, ""preference_vector"": 49, ""evaluation_holdout"": 1}","[""B01LSUQSB0"", ""B0C47HXVSJ"", ""B0BHMQLLR4"", ""B01K1HPA60"", ""B088XGXB36"", ""B0BWZC536Y"", ""B08KVK68F7"", ""B09GWLJPTH"", ""B0BT357Q3L"", ""B0BPTW75RG""]",,0.0,0.0,0.0,b6573384-f0e1-4bf6-80b3-96d683e1fc00,Yellow,success,,qwen/qwen3-32b,task_b_intent_v1+task_b_reranker_v1,v1,sentence-transformers/all-MiniLM-L6-v2,True,False,True,True,True,True,False,True,True,True,,True,True,True,True,True,True,True,True,True,,True
Beauty_and_Personal_Care,AE3RXOZQ6OBTBWRG6C3N5ZYC4NWQ,5732c72b9474e3727d9bb3cb5841e92a,B0C5SD241W,"wet n wild Wild Shine Nail Polish, Orange Blazed, Nail Color",4.0,,,,,,True,,[],,,,,,,,,,skipped,max holdouts per user reached,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty_and_Personal_Care,AE3RXOZQ6OBTBWRG6C3N5ZYC4NWQ,7e4d916ef69db232f05edcf0c3a239f0,B0BSQ9BRYT,"L.A. Colors Craze Nail Polish, Aquatic, 0.44 Fluid Ounce",4.0,,,,,,True,,[],,,,,,,,,,skipped,max holdouts per user reached,,,,,,,,,,,,,,,,,,,,,,,,,,
Beauty_and_Personal_Care,AE3XHOX3OBSVFXACAPNFMKSUWR5Q,140388a78ef63eac460e3269083bd5e1,B0B63YYHMY,"Anti-Aging Face Serum Moisturizer 10-in-1 Nighttime Facial Oil with Jojoba, Rosehip, Argon, Vitamin E, Sunflower, Evening Primrose, Hempseed, Grapeseed, Mineral & Lavender Oils",5.0,,0.0,0.0,0.0,True,True,"[""B08J66VNFN"", ""B0B34BDB53"", ""B07NF4GRHW"", ""B08J96BMCY"", ""B07NF95CY9"", ""B0BNNRTFDS"", ""B0C52MVRF1"", ""B07TTHFXQM"", ""B0C63H4FN5"", ""B0B1584YZM""]","[""This matches the request because it mentions natural ingredients."", ""This matches the request because it mentions natural ingredients."", ""This matches the request because it mentions natural ingredients."", ""This matches the request because it mentions natural ingredients."", ""This matches the request because it mentions natural ingredients."", ""This fits the request through product quality score 0.92, preference match score 0.30."", ""This fits the request through product quality score 0.96, preference match score 0.30."", ""This fits the request through product quality score 0.96, preference match score 0.30."", ""This fits the request through product quality score 0.94, preference match score 0.30."", ""This fits the request through product quality score 0.94, preference match score 0.30.""]",51.0,"{""request_query"": 26, ""attribute_match"": 25, ""preference_vector"": 49, ""evaluation_holdout"": 1}","[""B01LSUQSB0"", ""B0C47HXVSJ"", ""B0BHMQLLR4"", ""B01K1HPA60"", ""B088XGXB36"", ""B0BWZC536Y"", ""B08KVK68F7"", ""B09GWLJPTH"", ""B0BT357Q3L"", ""B0BPTW75RG""]",,0.0,0.0,0.0,a8fa5db8-c6c9-46a3-8202-4d1dbe7ebf7e,Yellow,success,,qwen/qwen3-32b,task_b_intent_v1+task_b_reranker_v1,v1,sentence-transformers/all-MiniLM-L6-v2,True,False,True,True,True,True,False,True,True,True,,True,True,True,True,True,True,True,True,True,,True
